#r(")	Med.Contr/px	err_Med.Contr/px
0.225	1.03801e-03	2.38558e-05
0.275	5.99395e-04	1.16666e-04
0.325	4.80774e-04	9.13354e-05
0.375	3.41878e-04	7.79185e-05
0.425	2.50762e-04	3.95687e-05
0.475	2.02378e-04	1.83912e-05
0.525	1.52907e-04	1.53782e-05
0.575	1.18198e-04	1.47812e-05
0.625	1.00455e-04	1.29091e-05
0.675	8.47489e-05	1.00150e-05
0.725	7.07549e-05	7.52194e-06
0.775	5.84796e-05	6.26959e-06
0.825	4.77119e-05	6.54608e-06
0.875	4.22602e-05	6.76270e-06
0.925	3.64204e-05	5.57618e-06
0.975	3.22307e-05	4.76458e-06
1.025	2.94713e-05	3.44906e-06
1.075	2.66426e-05	3.74232e-06
1.125	2.50548e-05	3.46150e-06
1.175	2.29071e-05	2.79111e-06
1.225	2.11947e-05	2.82655e-06
1.275	2.05736e-05	2.92009e-06
1.325	1.92578e-05	2.80669e-06
1.375	1.77092e-05	2.80179e-06
1.425	1.71141e-05	2.94597e-06
1.475	1.54688e-05	2.86470e-06
1.525	1.43795e-05	2.59273e-06
1.575	1.34089e-05	2.38882e-06
1.625	1.22792e-05	2.11045e-06
1.675	1.12224e-05	1.99796e-06
1.725	1.07173e-05	1.83143e-06
1.775	1.00761e-05	1.73875e-06
1.825	9.18950e-06	1.69094e-06
1.875	8.28843e-06	1.54942e-06
1.925	7.95552e-06	1.47887e-06
1.975	7.35777e-06	1.45991e-06
2.025	6.83176e-06	1.16803e-06
2.075	6.35545e-06	1.16560e-06
2.125	5.97843e-06	1.07451e-06
2.175	5.21944e-06	9.50909e-07
2.225	4.88599e-06	8.43229e-07
2.275	4.47248e-06	8.56552e-07
2.325	4.26545e-06	7.68433e-07
2.375	3.86498e-06	7.04530e-07
2.425	3.68502e-06	7.50332e-07
2.475	3.46489e-06	6.73166e-07
2.525	3.11345e-06	6.10878e-07
2.575	2.97394e-06	6.63661e-07
2.625	2.62476e-06	5.72699e-07
2.675	2.60534e-06	5.28865e-07
2.725	2.27288e-06	5.57298e-07
2.775	2.17230e-06	5.49781e-07
2.825	2.11770e-06	5.87420e-07
2.875	1.89851e-06	5.62019e-07
2.925	1.78394e-06	4.74542e-07
2.975	1.73459e-06	5.47693e-07
3.025	1.60458e-06	4.39815e-07
3.075	1.51367e-06	4.01150e-07
3.125	1.36585e-06	4.25254e-07
3.175	1.23599e-06	4.12389e-07
3.225	1.25606e-06	4.25395e-07
3.275	1.14221e-06	3.67276e-07
3.325	1.15169e-06	3.21721e-07
3.375	9.89132e-07	3.30580e-07
3.425	9.94492e-07	3.26285e-07
3.475	8.20824e-07	3.04473e-07
3.525	8.09533e-07	2.42627e-07
3.575	7.80451e-07	2.91564e-07
3.625	7.70439e-07	2.26328e-07
3.675	7.38784e-07	2.03210e-07
3.725	7.39050e-07	2.15530e-07
3.775	6.87191e-07	2.63809e-07
3.825	6.11774e-07	1.59172e-07
3.875	5.84561e-07	1.77266e-07
3.925	6.38652e-07	1.93614e-07
3.975	5.97843e-07	1.95915e-07
4.025	5.84100e-07	1.09034e-07
4.075	5.99947e-07	2.38597e-07
4.125	5.80897e-07	1.65232e-07
4.175	5.64639e-07	2.90089e-07
4.225	6.73398e-07	2.14404e-07
4.275	6.20875e-07	1.68854e-07
4.325	6.02270e-07	3.36094e-07
4.375	6.11524e-07	1.62882e-07
4.425	6.92455e-07	1.65320e-07
4.475	4.82357e-07	2.12092e-07
4.525	5.60784e-07	2.27414e-07
4.575	1.09160e-06	6.84357e-08
